,stadium_id,stadium,RoofType,Longitude,Latitude,Altitude,StadiumAzimuthAngle,Surface,Turf,name,team,location,capacity,surface,roof_type,opened,stadium_detail_url,latitude,longitude,maps_url,maps_url2
11,DEN00,Empower Field at Mile High,Outdoor,-105.02,39.743889,1610.0,0.0,Natural,Kentucky,Empower Field at Mile High,Denver Broncos,"Denver, Colorado","76,125",Kentucky bluegrass,Open,2001,https://en.wikipedia.org//wiki/Empower_Field_at_Mile_High,39°44′38″N,105°1′12″W,https://www.google.com/maps/search/?api=1&query=39°44′38″N%2C105°1′12″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.7438888888889%2C-105.02&basemap=satellite&zoom=18
12,WAS00,FedExField,Outdoor,-76.864444,38.907778,58.0,295.0,Natural,Bermuda,Northwest Stadium,Washington Commanders,"Landover, Maryland","62,000",Bermuda grass,Open,1997,https://en.wikipedia.org//wiki/Northwest_Stadium,38°54′28″N,76°51′52″W,https://www.google.com/maps/search/?api=1&query=38°54′28″N%2C76°51′52″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=38.9077777777778%2C-76.8644444444444&basemap=satellite&zoom=18
13,CLE00,FirstEnergy Stadium,Outdoor,-81.699444,41.506111,183.0,56.1,Natural,Kentucky,Huntington Bank Field,Cleveland Browns,"Cleveland, Ohio","67,431",Kentucky bluegrass,Open,1999,https://en.wikipedia.org//wiki/Huntington_Bank_Field,41°30′22″N,81°41′58″W,https://www.google.com/maps/search/?api=1&query=41°30′22″N%2C81°41′58″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=41.5061111111111%2C-81.6994444444445&basemap=satellite&zoom=18
14,DET00,Ford Field,Indoor,-83.045556,42.34,183.0,63.7,Astro,Classic,Ford Field,Detroit Lions,"Detroit, Michigan","65,000",FieldTurf CORE[14],Fixed,2002,https://en.wikipedia.org//wiki/Ford_Field,42°20′24″N,83°2′44″W,https://www.google.com/maps/search/?api=1&query=42°20′24″N%2C83°2′44″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=42.34%2C-83.0455555555556&basemap=satellite&zoom=18
15,BOS00,Gillette Stadium,Outdoor,-71.264,42.091,81.0,343.0,Astro,FieldTurf,Gillette Stadium,New England Patriots,"Foxborough, Massachusetts","66,829",FieldTurf CORE[10],Open,2002,https://en.wikipedia.org//wiki/Gillette_Stadium,42°05′28″N,71°15′50″W,https://www.google.com/maps/search/?api=1&query=42°05′28″N%2C71°15′50″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=42.0911111111111%2C-71.2638888888889&basemap=satellite&zoom=18
16,MIA00,Hard Rock Stadium,Outdoor,-80.238889,25.958056,3.0,302.1,Natural,Bermuda,Hard Rock Stadium,Miami Dolphins,"Miami Gardens, Florida","65,326",Bermuda grass,Open,1987,https://en.wikipedia.org//wiki/Hard_Rock_Stadium,25°57′29″N,80°14′20″W,https://www.google.com/maps/search/?api=1&query=25°57′29″N%2C80°14′20″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=25.9580555555556%2C-80.2388888888889&basemap=satellite&zoom=18
17,GNB00,Lambeau Field,Outdoor,-88.062222,44.501389,195.0,0.0,Hybrid,Desso,Lambeau Field,Green Bay Packers,"Green Bay, Wisconsin","81,441",Kentucky bluegrass reinforced with SIS Grass.[21],Open,1957,https://en.wikipedia.org//wiki/Lambeau_Field,44°30′5″N,88°3′44″W,https://www.google.com/maps/search/?api=1&query=44°30′5″N%2C88°3′44″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=44.5013888888889%2C-88.0622222222222&basemap=satellite&zoom=18
18,SFO01,Levi's Stadium,Outdoor,-121.97,37.403,54.0,330.0,Natural,Rye,Levi's Stadium,San Francisco 49ers,"Santa Clara, California","68,500",Bermuda grass–Perennial Ryegrass mixture,Open,2014,https://en.wikipedia.org//wiki/Levi%27s_Stadium,37°24′11″N,121°58′12″W,https://www.google.com/maps/search/?api=1&query=37°24′11″N%2C121°58′12″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=37.4030555555556%2C-121.97&basemap=satellite&zoom=18
19,PHI00,Lincoln Financial Field,Outdoor,-75.1675,39.900833,15.0,351.0,Hybrid,Desso,Lincoln Financial Field,Philadelphia Eagles,"Philadelphia, Pennsylvania","69,596",GrassMaster[24],Open,2003,https://en.wikipedia.org//wiki/Lincoln_Financial_Field,39°54′3″N,75°10′3″W,https://www.google.com/maps/search/?api=1&query=39°54′3″N%2C75°10′3″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.9008333333333%2C-75.1675&basemap=satellite&zoom=18
20,LAX99,Los Angeles Memorial Coliseum,Outdoor,-1182878.0,34.0137,70.0,120.0,Natural,Bermuda,,,,,,,,,,,,
21,IND00,Lucas Oil Stadium,Retractable,-86.162806,39.760056,219.0,26.6,Astro,Shaw,Lucas Oil Stadium,Indianapolis Colts,"Indianapolis, Indiana","67,000",Hellas Matrix Turf,Retractable,2008,https://en.wikipedia.org//wiki/Lucas_Oil_Stadium,39°45′36.2″N,86°9′49.7″W,https://www.google.com/maps/search/?api=1&query=39°45′36.2″N%2C86°9′49.7″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.7600555555556%2C-86.1638055555556&basemap=satellite&zoom=18
22,SEA00,Lumen Field,Outdoor,-122.3316,47.5952,5.0,0.0,Astro,Revolution,Lumen Field,Seattle Seahawks,"Seattle, Washington","69,000",FieldTurf Revolution 360[10],Open,2002,https://en.wikipedia.org//wiki/Lumen_Field,47°35′43″N,122°19′54″W,https://www.google.com/maps/search/?api=1&query=47°35′43″N%2C122°19′54″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=47.5952777777778%2C-122.331666666667&basemap=satellite&zoom=18
23,BAL00,M&T Bank Stadium,Outdoor,-76.622778,39.278056,33.0,289.5,Natural,Bermuda,M&T Bank Stadium,Baltimore Ravens,"Baltimore, Maryland","71,008",Bermuda grass[28],Open,1998,https://en.wikipedia.org//wiki/M%26T_Bank_Stadium,39°16′41″N,76°37′22″W,https://www.google.com/maps/search/?api=1&query=39°16′41″N%2C76°37′22″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.2780555555556%2C-76.6227777777778&basemap=satellite&zoom=18
24,MLB00,Melbourne Cricket Ground,Outdoor,144.9834,-37.82,7.6,15.0,Hybrid,Eclipse,,,,,,,,,,,,
25,ATL97,Mercedes-Benz Stadium,Retractable,-84.4008,33.7555,329.0,70.9,Astro,Revolution,,,,,,,,,,,,
26,NYC01,MetLife Stadium,Outdoor,-74.074361,40.813528,3.0,345.5,Astro,UBU,MetLife Stadium,New York GiantsNew York Jets,"East Rutherford, New Jersey","82,500",FieldTurf Core[32],Open,2010,https://en.wikipedia.org//wiki/MetLife_Stadium,40°48′48.7″N,74°4′27.7″W,https://www.google.com/maps/search/?api=1&query=40°48′48.7″N%2C74°4′27.7″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=40.8135277777778%2C-74.0743611111111&basemap=satellite&zoom=18
27,NYC01,MetLife Stadium,Outdoor,-74.074361,40.813528,3.0,345.5,Astro,UBU,MetLife Stadium,New York GiantsNew York Jets,"East Rutherford, New Jersey","82,500",FieldTurf Core[32],Open,2010,https://en.wikipedia.org//wiki/MetLife_Stadium,40°48′48.7″N,74°4′27.7″W,https://www.google.com/maps/search/?api=1&query=40°48′48.7″N%2C74°4′27.7″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=40.8135277777778%2C-74.0743611111111&basemap=satellite&zoom=18
28,BUF00,New Era Field,Outdoor,-78.787,42.774,235.0,302.1,Astro,Titan,Highmark Stadium,Buffalo Bills,"Orchard Park, New York","71,608",A-Turf Titan 50[18],Open,1973,https://en.wikipedia.org//wiki/Highmark_Stadium_(New_York),42°46′26″N,78°47′13″W,https://www.google.com/maps/search/?api=1&query=42°46′26″N%2C78°47′13″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=42.7738888888889%2C-78.7869444444444&basemap=satellite&zoom=18
29,NAS00,Nissan Stadium,Outdoor,-86.771389,36.166389,127.0,334.6,Natural,Bermuda,Nissan Stadium,Tennessee Titans,"Nashville, Tennessee","69,143",Matrix Helix Turf with organic infill[34],Open,1999,https://en.wikipedia.org//wiki/Nissan_Stadium,36°9′59″N,86°46′17″W,https://www.google.com/maps/search/?api=1&query=36°9′59″N%2C86°46′17″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=36.1663888888889%2C-86.7713888888889&basemap=satellite&zoom=18
30,HOU00,NRG Stadium,Retractable,-95.410833,29.684722,30.0,358.2,Astro,Hellas,NRG Stadium,Houston Texans,"Houston, Texas","72,220",Hellas Matrix Turf[38],Retractable,2002,https://en.wikipedia.org//wiki/NRG_Stadium,29°41′5″N,95°24′39″W,https://www.google.com/maps/search/?api=1&query=29°41′5″N%2C95°24′39″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=29.6847222222222%2C-95.4108333333333&basemap=satellite&zoom=18
31,BER00,Olympiastadion,Indoor,13.2395,52.5147,60.0,0.0,Hybrid,LayandPlay,,,,,,,,,,,,
32,CIN00,Paul Brown Stadium,Outdoor,-84.516,39.095,152.0,320.6,Astro,UBU,Paycor Stadium,Cincinnati Bengals,"Cincinnati, Ohio","65,515",UBU Speed Series S5-M Synthetic Turf,Open,2000,https://en.wikipedia.org//wiki/Paycor_Stadium,39°05′42″N,84°30′58″W,https://www.google.com/maps/search/?api=1&query=39°05′42″N%2C84°30′58″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=39.095%2C-84.5161111111111&basemap=satellite&zoom=18
33,TAM00,Raymond James Stadium,Outdoor,-82.503333,27.975833,36.0,0.0,Natural,Bermuda,Raymond James Stadium,Tampa Bay Buccaneers,"Tampa, Florida","69,218",Bermuda grass,Open,1998,https://en.wikipedia.org//wiki/Raymond_James_Stadium,27°58′33″N,82°30′12″W,https://www.google.com/maps/search/?api=1&query=27°58′33″N%2C82°30′12″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=27.9758333333333%2C-82.5033333333333&basemap=satellite&zoom=18
34,OAK00,Ring Central Coliseum,Outdoor,-122.2009,37.7514,-6.0,35.0,Natural,Kentucky,,,,,,,,,,,,
35,TOR00,Rogers Centre,Retractable,-79.389167,43.641389,144.0,346.4,Astro,RootZone,,,,,,,,,,,,
36,ESP00,Santiago Bernabeu Stadium,Indoor,-3.6883,40.453,667.0,0.0,Hybrid,LayandPlay,Santiago Bernabéu Stadium,,"Madrid, Spain","81,044",Hybrid grass,Retractable roof,1947[e],https://en.wikipedia.org//wiki/Santiago_Bernab%C3%A9u_Stadium,40°27′11″N,3°41′18″W,https://www.google.com/maps/search/?api=1&query=40°27′11″N%2C3°41′18″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=40.4530555555556%2C-3.68833333333333&basemap=satellite&zoom=18
37,LAX01,SoFi Stadium,Outdoor,-118.3392,33.95345,38.0,338.2,Astro,Hellas,SoFi Stadium,Los Angeles RamsLos Angeles Chargers,"Inglewood, California","70,240",Hellas Matrix Turf,Fixed,2020,https://en.wikipedia.org//wiki/SoFi_Stadium,33°57′11″N,118°20′20″W,https://www.google.com/maps/search/?api=1&query=33°57′11″N%2C118°20′20″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.9530555555556%2C-118.338888888889&basemap=satellite&zoom=18
38,CHI98,Soldier Field,Outdoor,-87.6167,41.8623,180.0,353.9,Natural,Kentucky,Soldier Field,Chicago Bears,"Chicago, Illinois","61,500",Bermuda grass[43],Open,1924[a],https://en.wikipedia.org//wiki/Soldier_Field,41°51′44″N,87°37′00″W,https://www.google.com/maps/search/?api=1&query=41°51′44″N%2C87°37′00″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=41.8622222222222%2C-87.6166666666667&basemap=satellite&zoom=18
39,PHO00,State Farm Stadium,Retractable,-112.2625,33.5276,331.0,330.0,Natural,Bermuda,State Farm Stadium,Arizona Cardinals,"Glendale, Arizona","63,400",Bermuda grass,Retractable,2006,https://en.wikipedia.org//wiki/State_Farm_Stadium,33°31′41″N,112°15′47″W,https://www.google.com/maps/search/?api=1&query=33°31′41″N%2C112°15′47″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=33.5280555555556%2C-112.263055555556&basemap=satellite&zoom=18
40,LAX97,Stub Hub Center,Outdoor,-118.2611,33.8644,12.0,0.0,Natural,Bermuda,,,,,,,,,,,,
41,JAX00,TIAA Bank Field,Outdoor,-81.6375,30.323889,5.0,16.7,Natural,Bermuda,EverBank Stadium,Jacksonville Jaguars,"Jacksonville, Florida","67,838",Bermuda grass,Open,1995,https://en.wikipedia.org//wiki/EverBank_Stadium,30°19′26″N,81°38′15″W,https://www.google.com/maps/search/?api=1&query=30°19′26″N%2C81°38′15″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=30.3238888888889%2C-81.6375&basemap=satellite&zoom=18
42,LON02,Tottenham Hotspur Stadium,Outdoor,-0.066389,51.604444,10.0,0.0,Hybrid,LayandPlay,Tottenham Hotspur Stadium,,"London, England","62,850",Artificial turf,Open,2019,https://en.wikipedia.org//wiki/Tottenham_Hotspur_Stadium,51°36′16″N,0°3′59″W,https://www.google.com/maps/search/?api=1&query=51°36′16″N%2C0°3′59″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=51.6044444444444%2C-0.0663888888888889&basemap=satellite&zoom=18
43,LON01,Twickenham Stadium,Outdoor,-0.341667,51.456111,10.0,324.8,Hybrid,LayandPlay,Twickenham Stadium,,"London, England","82,223",Desso GrassMaster,Open,1909[f],https://en.wikipedia.org//wiki/Twickenham_Stadium,51°27′21″N,0°20′29″W,https://www.google.com/maps/search/?api=1&query=51°27′21″N%2C0°20′29″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=51.4558333333333%2C-0.341388888888889&basemap=satellite&zoom=18
44,MIN01,U.S. Bank Stadium,Indoor,-93.258056,44.973889,255.0,309.9,Astro,ActGlobal,U.S. Bank Stadium,Minnesota Vikings,"Minneapolis, Minnesota","66,655",UBU Speed Series S5-M Synthetic Turf[46],Fixed,2016,https://en.wikipedia.org//wiki/U.S._Bank_Stadium,44°58′26″N,93°15′29″W,https://www.google.com/maps/search/?api=1&query=44°58′26″N%2C93°15′29″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=44.9738888888889%2C-93.2580555555556&basemap=satellite&zoom=18
45,LON00,Wembley Stadium,Outdoor,-0.279722,51.555833,38.0,90.0,Hybrid,LayandPlay,Wembley Stadium,,"London, England","90,000[g]",Desso GrassMaster,Partially retractable,2007,https://en.wikipedia.org//wiki/Wembley_Stadium,51°33′20″N,0°16′46″W,https://www.google.com/maps/search/?api=1&query=51°33′20″N%2C0°16′46″W&basemap=satellite,https://www.google.com/maps/@?api=1&map_action=map&center=51.5555555555556%2C-0.279444444444444&basemap=satellite&zoom=18
